date_id,full_date,year,quarter,month,month_name,week_of_year,day_of_month,day_of_week
20260109,2026-01-09,2026,1,1,January,2,9,5
20260110,2026-01-10,2026,1,1,January,2,10,6
20260111,2026-01-11,2026,1,1,January,2,11,7
20260112,2026-01-12,2026,1,1,January,3,12,1
20260113,2026-01-13,2026,1,1,January,3,13,2
20260115,2026-01-15,2026,1,1,January,3,15,4
